12000 6 
2 7814 5
1 4806 5
2 4369 6
1 4309 2
2 7140 1
2 1319 3
2 5299 3
2 6115 6
2 8637 4
1 8917 6
1 9608 2
2 4370 1
2 5632 1
2 8810 5
2 3409 1
2 5911 4
2 2109 1
1 9656 6
1 2343 3
2 1777 4
2 7409 1
1 9317 5
1 7459 3
1 7661 4
2 3466 2
2 5842 6
1 1476 5
1 2004 2
1 8595 5
1 1990 2
2 6337 3
2 7295 2
1 5240 4
2 4890 3
1 292 1
1 7083 6
1 6858 6
1 9440 3
2 4854 6
1 1490 3
1 7748 6
2 5638 5
1 8306 2
2 7297 3
2 3575 2
2 3518 4
2 4314 2
1 749 2
2 5693 3
2 3668 5
1 1302 3
2 8614 5
2 6755 5
2 2451 3
1 1887 6
2 8205 3
1 8624 1
1 4019 5
1 3693 1
2 5752 2
2 2437 3
2 4839 3
1 7768 2
1 9118 4
2 1020 6
2 3387 6
2 2476 4
2 8037 3
2 6949 6
1 612 3
2 8217 3
2 1636 6
2 9779 2
1 5284 6
1 1203 6
2 3338 6
1 2640 5
1 7809 1
1 4556 1
1 2589 1
1 7315 5
2 8535 4
2 8416 2
2 4565 3
1 7656 4
1 3496 2
2 7410 6
1 1065 2
1 9506 3
1 3507 1
2 8667 5
2 5861 1
1 4572 2
2 2468 6
1 8348 4
2 7068 6
1 1598 4
2 4915 5
2 1960 3
2 1924 3
2 3369 1
1 4722 6
2 6335 3
2 3522 2
1 7686 6
1 6050 1
1 5296 2
1 7207 1
2 5491 2
2 2725 1
1 9900 2
2 7560 3
2 3012 2
1 2141 5
2 7931 6
1 5086 3
1 1393 3
1 2367 2
2 7087 5
2 4313 1
1 6872 6
1 9243 6
2 8788 3
2 840 6
1 1849 1
1 4227 2
1 9992 3
2 2013 5
1 8767 1
1 7092 3
1 4714 5
2 2390 5
1 8688 6
2 5962 5
1 622 3
1 2872 3
1 4017 1
2 1366 2
2 344 1
1 9859 3
2 2004 6
2 6077 3
1 4011 2
2 4242 4
1 7769 2
1 6901 2
1 2816 3
1 4457 1
1 8326 6
1 2481 3
2 7170 6
2 7689 2
2 1016 2
2 7008 4
2 8951 2
1 8672 6
2 1306 5
2 9086 4
1 7240 4
2 2161 4
1 7461 5
2 9747 6
2 9727 6
2 8359 1
2 9577 1
1 8739 3
1 6143 4
1 4682 1
1 5747 2
2 1928 3
2 8114 3
2 4987 3
1 5230 5
2 2613 6
2 7447 3
1 9147 2
1 6926 3
2 978 4
2 3657 1
2 9761 3
1 1771 5
2 4222 1
2 8936 4
1 7715 1
2 375 5
1 143 2
1 829 3
1 5439 4
2 1320 5
1 6619 3
2 4132 5
1 1273 6
1 8932 3
1 1550 2
2 4600 1
1 7531 3
1 1386 3
2 7052 2
2 7812 5
2 2341 3
1 5694 4
2 3794 2
1 9012 4
2 6594 1
2 9565 6
2 2118 1
1 7735 3
2 3668 6
1 1801 1
1 197 1
2 5922 1
2 965 5
1 9817 2
1 906 1
2 3 2
2 5699 5
2 9634 1
1 6350 3
1 684 1
2 9652 1
1 7202 1
2 3778 6
2 8406 6
1 3173 2
1 1125 4
1 8092 6
1 1551 4
1 4441 6
1 120 5
2 8569 6
2 3254 6
2 7843 4
1 2659 1
2 363 2
2 139 6
2 2763 3
1 3449 3
1 2855 5
1 5982 2
1 8078 4
2 5081 5
1 1325 1
2 7422 4
2 165 4
2 1071 6
1 4858 4
2 4666 2
2 5002 2
1 8017 4
1 5129 4
2 1097 3
2 728 4
2 7933 4
1 3467 3
2 7041 2
2 537 3
2 9341 1
1 2760 6
2 4704 3
2 6173 5
1 4679 1
1 3792 5
1 4816 1
1 4463 3
1 1959 6
2 3872 1
1 6290 6
2 9851 6
1 9280 3
1 7300 4
1 7497 4
2 3428 6
1 2661 1
1 8559 1
1 4121 5
2 9723 5
1 2215 4
1 4711 4
1 7578 5
1 2480 6
2 5601 4
1 4668 3
1 5539 2
1 7130 4
2 9068 6
1 9592 5
1 824 3
1 4617 6
1 8907 2
2 8534 3
1 1860 2
2 8257 3
1 7441 1
2 268 4
1 8583 2
2 5439 6
2 5452 4
2 1763 6
2 4790 2
1 8786 2
1 8997 3
2 2047 5
1 2719 1
1 4181 1
2 9806 4
2 8440 2
1 1266 1
1 8081 3
1 4618 3
1 1516 6
2 1998 2
2 3944 4
2 295 5
2 9360 4
2 8140 4
1 7202 6
1 7380 3
1 4343 1
2 1519 5
1 3266 1
2 1260 4
1 319 2
2 2293 1
2 220 1
1 7358 4
1 5295 1
2 7135 3
1 8930 6
1 1700 1
2 2254 3
1 2328 2
1 5321 1
1 4153 5
2 1513 5
2 24 6
2 2121 5
1 9110 4
2 9034 5
1 7544 2
1 785 3
2 9819 1
2 5358 6
1 1960 3
2 297 1
2 842 3
2 8387 4
1 4510 5
1 6985 3
1 5066 5
1 2249 5
1 8366 2
2 7935 3
2 770 4
2 3714 4
2 1615 1
2 5675 5
1 7817 1
1 8351 4
2 7223 2
2 6399 2
1 6085 6
1 5081 2
1 5802 4
1 1763 2
2 9693 6
1 6206 1
1 9806 4
2 1242 6
2 7268 5
1 2929 4
1 4915 2
2 4202 5
1 1754 5
2 525 5
1 6094 3
1 1921 1
2 9309 2
1 8987 2
2 2317 6
1 226 3
2 7299 1
2 7130 1
2 5502 4
1 8324 5
2 3286 3
1 4810 2
1 6640 6
1 2963 4
2 8033 5
2 165 2
2 3012 4
1 1471 3
1 7641 2
2 6379 2
2 3791 5
1 8705 3
2 4058 4
1 8998 3
1 7332 1
2 6479 1
1 8658 6
2 1969 5
1 1400 2
1 6191 4
2 8172 5
1 5265 6
1 2436 3
1 6872 2
2 1609 6
2 2249 6
2 1044 4
2 597 1
1 7158 5
2 6883 4
1 7068 3
2 6472 4
1 5482 1
2 3005 2
1 2814 1
2 3464 1
2 3187 6
2 748 4
2 5319 5
2 8116 1
1 1301 4
1 4454 5
2 8347 3
1 4918 1
1 4604 1
2 6100 3
2 8008 6
1 5832 4
1 2233 4
2 3263 6
2 9529 6
2 8907 1
1 577 2
1 3521 2
1 4168 5
2 3592 1
2 1241 4
1 3761 3
1 3073 1
2 424 4
1 3255 2
1 7660 6
1 9645 3
1 2258 2
1 9269 3
2 7385 4
1 1988 5
2 2472 3
2 1571 3
2 5388 5
1 5369 5
1 4397 3
2 7540 1
1 4506 1
1 421 6
1 524 2
2 9930 3
2 2551 4
2 1449 5
1 7947 2
2 2070 6
2 8887 1
1 9702 5
1 4947 1
2 6538 2
2 2029 5
2 723 2
1 8944 6
1 930 4
1 9107 4
2 6140 4
2 615 5
2 9385 2
1 7479 5
1 8993 6
2 358 1
2 7781 2
2 2621 2
1 6111 3
2 8461 1
1 4061 5
1 5580 2
1 5449 5
1 1633 2
1 9960 1
2 7393 5
1 4818 6
2 1663 3
2 8856 2
2 2795 1
2 3793 4
1 2474 1
1 3719 1
2 4072 2
1 8330 6
1 1436 1
1 9325 3
2 8562 1
2 2345 2
1 4307 4
1 8865 1
2 29 1
2 8330 1
2 5433 3
1 1577 6
2 5958 1
1 7473 3
2 8794 5
1 4322 5
2 933 3
2 9657 2
1 5410 5
2 2922 5
2 9993 1
2 7730 1
2 5441 3
1 2352 4
2 1263 1
2 7302 3
1 5564 3
2 8731 5
1 2813 4
2 4705 1
2 4368 3
1 7081 6
1 2493 2
2 7746 3
1 7223 3
1 8763 2
2 2739 2
2 7610 6
2 1126 6
2 7994 2
2 22 6
1 5501 6
2 9359 1
1 6038 4
2 7022 5
1 7373 3
2 6694 3
2 4923 4
2 3537 2
2 3764 3
2 5602 4
1 5390 3
1 203 5
1 1571 5
1 454 3
2 2220 6
1 34 6
2 8314 6
1 7298 6
2 3679 6
2 1181 2
2 4798 4
2 1567 5
2 707 1
1 2691 6
1 6270 1
2 6567 6
1 6114 3
2 101 1
2 1590 2
2 1864 5
1 6454 1
2 9432 5
1 8290 2
1 7107 3
2 2832 3
1 1639 1
2 6110 3
2 9710 3
1 1264 4
2 8765 2
2 8654 1
1 998 6
2 3166 5
1 8425 5
1 4421 3
1 8755 2
1 955 6
1 428 2
1 7514 1
1 4452 3
1 9507 2
1 2217 3
2 1251 4
2 942 4
1 425 2
1 8542 5
2 9089 2
1 3511 6
1 5830 6
1 1938 2
2 8812 6
1 9764 1
2 5994 3
2 651 4
1 1485 1
1 6909 5
2 9205 1
2 6582 2
2 8787 2
1 9049 2
2 8149 3
1 640 5
1 8889 3
2 7561 6
2 1587 2
2 9584 3
2 1230 4
1 3006 5
2 3418 3
1 6192 5
2 2077 4
2 5870 1
2 6348 6
1 3576 4
2 2468 5
2 9043 6
1 9159 4
1 9066 5
1 2667 5
2 8076 1
1 4488 4
2 2027 4
2 491 6
2 5843 3
2 317 1
1 7821 5
1 4000 5
1 8923 4
2 819 3
2 4081 6
2 2194 5
2 4966 2
2 3090 3
1 2347 1
1 3944 1
2 1918 6
1 6150 6
2 7494 6
2 6260 6
1 9895 6
1 1217 4
2 9464 5
1 4896 3
2 7477 3
1 2810 6
2 2886 4
1 9531 6
2 6352 3
1 4779 6
1 1089 1
1 8564 6
2 742 2
1 9635 3
1 5190 5
1 9581 2
1 4243 4
2 4039 5
1 3967 6
2 9062 6
1 3758 2
1 5947 3
1 9170 1
2 5640 4
1 6677 6
1 8627 3
1 9455 6
1 8556 3
2 2839 6
2 8519 2
2 4766 4
1 3199 6
1 9933 5
2 8850 5
2 7210 5
2 3496 1
1 3984 5
1 3077 5
1 6466 4
2 2931 3
2 499 4
2 9027 4
1 8346 1
1 8830 1
1 9162 2
2 5145 5
1 3667 4
2 5978 3
2 1752 2
1 2099 3
2 3814 6
2 8748 3
1 1392 3
2 9771 5
1 3191 6
1 4950 3
2 3060 4
1 9147 4
2 4509 1
1 6449 5
1 4748 5
2 5373 2
2 3631 2
1 7383 5
2 6336 4
1 8066 6
2 6472 6
2 104 2
1 3939 3
1 7488 2
2 8304 4
2 5376 4
1 1645 5
2 1908 1
1 2329 3
1 9085 3
1 1970 3
1 4200 6
1 1767 1
2 3458 6
1 5068 1
2 4094 5
1 6422 5
2 8033 3
2 1789 5
1 4059 3
2 4411 4
2 4631 6
1 1279 2
2 1272 3
1 5183 5
2 1367 6
1 8365 3
1 9105 5
2 3331 2
1 7134 3
2 823 2
1 8006 2
2 5146 5
2 1106 3
1 3267 3
1 2508 3
2 8708 1
2 9666 1
2 8770 3
1 411 6
2 101 5
1 1878 2
1 2031 6
2 1409 2
2 4624 2
1 5036 3
2 8048 2
1 6021 5
2 7785 6
1 3128 5
1 5552 4
2 8428 4
2 3530 2
1 1820 3
1 7944 6
1 2404 4
2 3942 6
2 1931 4
2 2925 1
1 7648 6
2 8344 4
2 7124 4
1 8400 5
2 1680 5
2 6548 1
1 6084 1
1 3218 5
2 1532 1
2 959 4
2 5856 1
1 4500 2
2 9963 6
1 4996 2
2 3580 2
1 2758 2
2 7750 1
2 4048 4
2 348 6
2 1506 5
2 6 1
2 1419 2
2 5492 5
1 6766 5
1 3742 6
2 1843 4
1 7841 3
1 1079 5
1 5715 5
1 5946 3
2 3949 1
1 6760 6
2 681 1
1 4738 1
2 1323 5
2 6479 4
2 1771 1
1 911 6
2 7677 3
1 4478 5
1 1308 5
2 7295 4
1 8969 5
2 8307 5
1 6847 1
2 1409 3
2 3813 1
1 6834 1
2 6381 3
1 3659 5
1 1310 1
2 6648 5
2 9360 3
1 8398 6
1 8361 1
2 1905 3
2 9571 5
2 8455 2
1 3541 3
2 6067 2
2 9945 3
1 7120 2
2 9958 2
1 7778 4
2 6220 2
2 7122 1
2 1723 6
1 8214 3
1 9443 3
1 7514 4
2 8663 5
2 4457 4
2 2087 5
2 4932 2
2 9027 3
1 3473 3
2 423 3
1 473 5
1 5525 5
2 6200 2
2 8243 6
1 5885 2
2 7351 2
2 5092 1
1 4042 5
1 4683 4
1 2718 6
2 1003 2
1 4389 2
1 7559 5
2 6981 4
2 9292 2
2 3300 3
2 7701 5
2 170 6
1 4219 1
2 4459 3
2 1357 5
2 8801 3
2 8120 6
2 6859 2
2 7026 6
1 8320 3
2 3245 3
2 177 5
2 8892 1
1 2640 1
2 7108 5
2 335 3
1 1366 5
2 526 5
2 3412 1
1 5989 2
1 1478 5
2 1340 6
2 2958 2
2 5137 5
1 847 1
1 7502 1
1 6389 1
1 1498 4
2 4077 3
2 1544 3
2 4214 4
1 340 6
1 8551 3
1 9662 2
2 8385 5
2 2937 3
2 2300 1
1 904 3
1 9997 6
2 881 1
2 9622 4
2 8782 6
1 5487 4
1 5338 6
2 5813 1
1 515 3
2 7019 5
2 3807 6
1 3408 4
2 822 3
2 6241 1
1 7857 6
1 3749 1
2 5933 5
2 3601 1
2 3188 5
2 8340 1
2 6031 1
1 4005 2
2 9881 3
2 2232 4
2 1704 2
1 1869 5
2 3753 2
1 2855 5
2 4213 4
1 5435 6
2 1228 1
2 1952 5
2 696 5
2 5079 1
1 5249 5
2 8290 1
1 7452 3
2 1854 4
2 7663 2
1 5167 5
1 7829 1
2 3914 5
1 2458 2
1 4549 3
2 1715 5
2 8687 4
1 7392 6
2 7611 4
1 4668 6
2 1454 2
2 1776 1
1 3151 2
1 2327 6
1 4598 2
2 4572 5
2 97 3
1 1442 3
1 593 6
1 3428 6
1 3738 4
1 4021 4
2 7900 1
2 7901 6
2 3298 3
1 14 4
2 8083 2
2 4713 3
1 3975 3
1 5130 4
2 6305 4
1 7106 3
1 3904 3
2 8357 5
1 3082 5
1 4380 5
1 5842 4
1 9179 2
1 9982 5
2 3800 1
2 2452 1
1 9809 4
1 9248 6
1 9863 6
2 3742 4
2 6710 4
2 6002 6
2 5389 3
2 7113 4
2 3649 4
1 1217 3
1 6666 1
1 2956 5
2 9936 2
2 8232 6
1 1261 6
1 1184 5
2 9911 1
1 5333 4
1 1964 4
2 5226 5
2 3487 5
1 9901 2
1 2469 4
2 5827 1
1 1501 4
2 7328 4
2 9149 4
2 5828 1
2 7860 1
1 8475 6
2 1889 2
2 8339 3
1 6343 5
2 927 3
2 2236 4
2 9246 3
1 975 5
1 1354 2
1 7144 6
1 5872 6
2 1681 4
2 5496 3
1 9518 6
2 5687 6
2 2876 5
2 442 2
2 1945 4
2 5367 5
2 1645 1
1 3922 2
2 5365 4
1 7761 3
1 5304 4
1 3901 1
2 5536 1
2 9397 3
2 8750 4
1 33 5
2 3699 2
1 3545 3
1 1034 1
2 2104 2
2 7147 2
1 4027 3
1 8593 1
1 2740 5
1 7925 1
2 5009 2
2 2572 1
1 4391 1
2 3353 2
2 7227 5
2 2480 6
2 1766 1
1 6807 3
1 4757 1
2 5769 1
2 9642 2
2 1699 4
1 3856 1
1 4681 4
2 8783 6
2 28 1
2 2548 1
1 12 5
2 8973 2
2 2169 3
1 8238 1
2 4126 3
1 6732 5
2 634 6
1 2457 4
1 772 1
1 8047 5
2 4470 4
2 9215 6
1 6911 5
1 3897 5
1 8610 2
1 868 5
2 9477 6
1 9614 4
2 7216 2
1 6680 4
1 3475 4
1 9325 4
1 6367 5
2 6085 3
2 7690 3
1 9257 1
1 2401 5
2 6140 1
1 693 6
2 3032 2
1 4742 1
2 9656 3
1 5783 5
1 8334 3
2 483 6
2 3140 4
2 6011 1
1 198 4
1 8957 3
1 202 3
2 9980 1
1 1268 5
1 8702 4
1 6141 1
2 6548 3
2 6043 1
2 2373 6
2 8220 1
1 2174 2
1 1239 1
1 2227 5
2 7363 6
2 853 2
2 3075 5
1 486 5
2 5934 5
2 5809 1
1 9571 4
2 165 2
2 9147 2
2 5391 6
1 169 1
2 2778 3
2 6832 2
2 7502 3
2 3221 5
2 9864 4
2 8052 1
1 5810 3
1 4806 3
2 7968 2
1 2506 3
1 5067 1
2 8440 1
1 8265 5
2 6718 3
1 4772 5
1 2242 3
1 5462 6
1 5634 2
1 508 5
1 4586 2
1 8627 2
2 3594 2
2 8652 4
1 6119 3
1 8372 2
1 663 1
2 210 5
2 750 2
2 2253 5
2 7580 6
2 7954 2
1 2111 3
1 1819 4
1 4773 2
1 7473 6
2 636 1
2 2928 1
1 9653 5
2 2135 6
2 6072 1
1 4901 6
1 2758 6
2 5184 4
1 1985 6
2 274 3
1 7975 2
1 1932 2
2 8265 3
2 4393 5
2 6960 4
2 7527 3
1 8964 4
1 5677 4
1 8111 1
2 6774 1
2 2145 6
2 507 6
1 9180 6
2 4419 1
1 8981 3
1 4926 4
2 5373 4
1 8623 5
1 8241 3
1 538 5
1 8058 3
1 7923 3
2 4377 1
1 4247 4
1 6204 2
2 5124 5
2 9814 3
1 9479 3
2 3450 1
1 9421 2
1 9040 4
1 8288 1
1 5187 1
2 9303 4
2 9850 2
1 5304 1
1 5968 5
1 8830 1
1 7569 4
1 6468 3
2 2880 5
2 7701 5
1 410 2
1 5970 6
1 822 4
2 2737 5
1 8116 1
2 5762 4
2 6242 3
2 4130 1
2 8474 5
2 2773 2
2 7601 2
1 9230 1
2 6942 2
1 2595 6
1 5375 2
1 7586 3
1 5626 5
1 2400 2
2 4916 4
1 7182 2
1 8154 1
1 9504 3
2 4720 4
1 3039 1
1 5121 1
2 463 2
1 5460 6
2 2542 5
2 8976 4
2 9378 3
2 3007 6
2 6535 2
2 3554 3
2 9706 1
1 9046 3
1 2063 1
2 3583 3
1 3423 3
2 7238 5
2 999 2
1 4852 5
2 4773 4
2 6684 3
1 4636 5
2 2714 2
2 3197 6
1 6710 2
2 5970 4
2 3866 2
1 3765 3
2 3181 6
1 2518 2
2 9074 2
1 4793 1
2 1690 2
2 6465 3
2 7775 4
1 7656 1
1 7423 3
1 1190 2
2 7384 5
1 6873 4
1 1418 5
1 8522 3
2 5231 2
2 4861 2
1 1313 4
1 7273 2
1 2763 1
1 1722 1
1 7803 6
1 2968 2
1 27 1
1 445 6
2 3837 1
2 8434 4
2 3642 2
2 6918 3
1 6063 4
1 1168 5
1 2380 2
1 4168 1
2 6372 2
2 3018 5
2 9019 5
1 6165 3
1 6112 4
2 4126 2
2 2176 1
1 4032 6
1 9046 1
2 8384 1
2 3523 4
1 9939 5
1 2586 4
2 7994 1
2 8859 6
2 1071 1
2 2662 3
2 2560 6
1 7778 2
1 5980 3
1 5718 1
2 2598 1
2 3351 6
2 3982 6
1 4769 3
2 7030 1
2 8326 2
2 7366 4
2 8144 1
2 6906 5
1 5470 2
2 780 6
2 6185 2
1 7169 5
2 8644 2
2 7763 3
1 3479 5
2 5093 6
1 3261 6
2 881 5
1 6818 3
1 5440 4
2 3773 1
1 2780 2
1 6886 2
2 8394 5
1 3606 3
1 4633 3
2 9567 3
1 8073 1
1 7753 2
2 2004 1
2 294 4
2 6426 5
1 3008 4
2 7753 3
2 2128 5
2 466 1
1 5499 3
1 5085 4
1 1609 1
1 7649 6
2 2615 3
2 9217 3
2 8414 6
2 9661 5
2 2967 5
2 4302 2
1 6757 6
1 9008 3
2 2690 2
1 3819 3
2 3146 5
1 5791 2
2 2611 6
2 4330 4
2 9820 3
2 4418 6
2 5286 6
2 614 6
2 7615 3
1 8325 6
1 3115 5
1 3934 4
1 1718 6
1 6685 6
2 7818 1
1 8177 2
1 847 2
1 1146 6
1 3982 6
2 9733 6
2 17 4
1 7567 4
2 7589 2
1 3189 4
1 5956 4
1 816 2
2 2010 5
2 2428 4
2 1472 2
2 3487 6
1 4812 1
2 7841 5
1 3554 3
1 3060 2
2 8579 1
2 1753 1
2 8869 3
2 6398 6
1 1727 6
2 6114 1
2 4831 5
1 5220 2
2 1111 2
2 6088 6
2 7981 6
2 2669 5
2 5275 1
2 3076 6
1 7396 3
1 6165 2
2 5507 5
1 6321 4
1 5686 3
1 3026 6
2 8415 4
1 5213 4
1 4084 2
2 5576 3
2 2783 1
1 5695 6
1 8152 6
1 6660 3
1 1184 3
2 7132 2
1 5639 3
2 557 5
1 8697 4
2 6473 3
1 3550 4
2 661 6
1 4083 5
1 7539 2
2 6431 1
2 3920 1
1 8792 4
2 9282 2
1 3807 1
1 9649 3
2 5255 4
1 611 6
1 4565 3
2 9262 3
2 7200 6
1 3098 6
1 2895 3
1 9610 4
1 7110 1
1 2124 2
2 1880 5
1 3656 2
2 6437 5
1 5133 5
2 5468 5
2 818 3
2 1488 4
2 1570 6
1 6057 5
2 5871 1
2 7850 4
1 452 1
2 2732 6
1 4023 5
1 7788 4
1 3936 2
2 1287 4
1 7870 1
2 6676 3
2 7941 1
2 1948 5
1 5059 4
2 3724 2
1 4957 1
2 7935 1
2 6336 4
1 6037 2
2 8965 6
1 4314 3
2 6766 2
2 5572 3
2 1591 4
1 7337 5
1 7710 1
2 7860 6
1 2025 6
1 9223 3
1 4545 2
1 139 5
1 7037 5
1 3463 5
2 7992 2
2 2985 1
1 1034 4
1 5934 1
1 2357 4
1 9180 4
2 3022 6
1 544 5
1 6788 5
1 6708 6
2 25 1
2 2368 1
1 9763 4
2 2965 6
1 537 3
2 3930 5
1 6566 5
2 3358 4
2 9733 5
2 2753 1
2 2104 6
2 6315 4
2 8189 3
2 3408 6
2 9223 6
1 1110 5
2 9834 3
2 1947 5
2 2872 2
2 8360 6
2 2230 4
2 1276 5
2 9260 4
2 7270 5
2 624 6
2 3360 5
2 518 1
2 171 2
2 565 5
1 2009 4
1 2976 1
1 3843 4
1 7005 6
2 1711 3
1 393 3
2 2771 3
2 8868 1
2 2423 1
1 212 1
2 8052 3
1 1233 1
1 1761 2
2 6094 5
1 2340 3
1 9470 4
2 6953 5
1 543 3
1 2671 2
2 7817 4
2 5033 5
2 5958 1
1 3521 1
1 1983 3
1 2765 1
2 9282 2
1 5683 1
1 7080 3
1 3367 4
1 6777 1
2 6165 1
1 8892 4
2 3314 2
2 6411 3
2 2398 3
2 6738 2
1 1064 6
1 5057 5
2 5001 3
2 3988 5
2 3292 1
2 871 5
1 2724 4
2 6551 2
1 4303 4
1 1158 1
2 8510 5
2 5846 3
2 8309 4
1 9934 6
2 3885 6
2 7705 6
1 4177 5
1 3282 4
2 1571 6
2 1491 1
1 312 6
2 4073 6
1 1068 5
2 7688 1
1 1899 2
2 9568 5
1 9944 1
2 7602 1
1 2021 2
1 2966 3
2 4634 1
1 1445 6
1 1314 1
1 4009 5
1 4081 1
2 1848 2
2 9356 2
1 3049 1
2 3848 5
2 2183 4
2 1293 3
1 7116 5
1 9213 3
1 2320 1
2 966 2
1 3549 1
2 7742 6
2 8657 5
2 7517 3
1 8191 5
1 451 2
2 4560 2
2 5355 6
2 3443 3
2 8555 3
1 8617 3
2 2704 6
2 9436 3
2 7082 3
1 1704 6
1 7797 2
1 8554 3
1 2861 1
1 3041 4
1 2930 3
1 9538 6
2 7385 6
1 3714 1
2 8984 5
2 4670 5
1 2624 4
1 9689 2
2 8622 2
2 2042 2
1 80 6
2 8258 6
2 4617 2
2 54 1
1 7442 5
1 1814 3
1 1027 1
1 4692 6
1 39 5
1 6196 3
1 5576 4
1 8392 5
2 7331 2
1 3519 3
2 2410 5
1 5282 4
1 2596 5
2 1344 4
2 9055 6
2 1059 1
2 4683 5
2 1814 2
1 6227 3
1 3170 6
2 9800 5
2 8221 1
1 8166 3
2 669 1
2 1227 2
2 2274 6
2 5141 6
2 3773 1
1 9748 1
2 8620 3
1 2085 1
2 9208 1
1 8497 1
2 2114 4
2 3343 4
1 8003 6
1 62 6
2 787 6
1 606 1
2 5937 3
2 3929 1
1 7718 3
2 6148 5
2 5039 4
1 716 4
2 3604 4
1 7892 3
1 3333 1
2 7451 3
1 3517 4
1 5148 6
2 6309 3
2 1564 3
2 2106 1
1 306 3
1 7369 4
1 3146 2
1 2123 6
2 8261 2
1 5506 2
1 9096 5
1 2344 3
2 2783 6
2 7696 2
2 3354 3
2 2398 6
2 2926 3
2 8122 6
1 372 6
1 7982 1
2 5810 5
2 3186 2
1 5873 2
1 6816 3
2 3512 2
1 2483 3
1 924 6
2 5534 1
2 5841 6
2 6868 4
1 3481 1
2 9309 4
1 1544 5
1 3569 3
2 2172 4
1 9797 6
2 7960 2
1 3986 6
2 8399 6
2 6463 1
2 4903 4
1 8435 5
2 8550 1
1 2326 5
1 9135 3
1 4521 2
2 9582 2
1 8202 5
2 5412 6
1 9727 4
1 2313 6
1 8943 5
2 2382 1
2 2426 6
1 8009 1
2 257 2
2 2243 3
2 4544 4
2 5533 1
1 6809 6
2 9882 5
1 3791 6
1 3160 3
2 7488 4
1 6060 1
2 401 1
2 5835 6
1 127 3
1 381 2
2 2807 5
1 359 2
1 1955 3
2 6829 2
1 3065 4
2 712 6
2 1853 3
2 8329 6
2 5742 2
2 515 3
2 2266 4
2 7111 3
1 4712 3
2 5347 2
1 1319 3
1 9765 3
1 8931 4
2 3711 1
1 9213 4
2 5844 3
2 4092 5
2 6896 1
2 3256 1
2 2123 4
2 4560 2
1 478 1
2 1121 4
2 107 4
2 2422 2
2 6266 3
2 7169 1
1 526 3
2 1668 5
2 8756 1
2 364 4
2 8960 2
2 8869 3
2 5430 4
1 7158 4
2 7458 5
1 7401 6
2 7456 4
1 698 4
1 5327 4
2 7869 2
1 902 1
2 8309 1
2 3301 6
1 4734 4
1 8250 3
2 2540 6
1 8011 4
1 3783 3
1 1907 3
1 170 2
1 5192 5
1 6291 1
2 290 1
2 5829 6
2 2350 3
1 2662 6
1 3946 1
2 1489 4
2 9758 3
2 9245 3
1 6747 3
1 6247 4
2 2658 5
2 3684 3
2 8836 1
1 6307 4
1 7997 6
1 8330 1
1 1803 6
1 1715 5
2 6051 2
1 2626 3
2 6278 2
1 1588 5
2 3187 3
1 7114 6
2 2760 2
2 3704 6
2 407 2
1 3053 2
1 8321 3
2 9603 3
2 4607 5
2 3241 3
1 8481 5
1 2524 6
1 9961 1
2 328 3
1 1251 2
2 58 3
2 9654 6
2 2380 2
2 9239 3
2 9962 4
2 5341 3
1 7161 1
2 645 5
1 6598 6
2 6943 4
2 2388 4
1 5572 2
2 1385 3
2 5870 3
1 7009 5
2 3113 1
1 9055 5
1 5492 6
2 3715 1
2 2652 1
2 3276 2
2 1850 1
2 569 1
1 9414 4
2 554 1
2 267 3
1 4899 6
1 3695 4
2 9316 5
2 6182 6
2 58 1
1 1339 4
1 4652 2
1 1628 1
1 9519 5
2 912 4
2 37 5
1 74 6
1 4981 1
2 4731 5
2 2110 3
2 5476 5
1 140 6
2 6747 4
1 5075 5
2 6121 3
1 1872 1
2 5074 1
1 2473 4
2 485 6
2 5444 1
1 34 1
2 6822 4
1 1508 4
1 4088 5
2 3411 5
2 9932 1
2 1462 3
2 3384 4
2 7960 2
2 1186 2
1 7321 6
1 9835 2
2 6849 2
1 2302 3
2 6882 4
1 3548 6
2 7721 4
1 1975 1
2 980 3
2 2839 1
2 5602 4
1 166 2
2 6396 1
1 7160 3
1 2613 2
1 4149 4
1 8535 3
2 1197 6
2 9776 5
2 9305 6
1 3931 4
1 4276 3
1 3298 6
1 2954 1
1 8592 4
2 5484 5
2 648 5
1 5290 5
2 2374 3
2 8057 3
1 5746 1
2 1844 5
2 147 2
1 2952 2
1 7021 2
1 1167 4
1 6757 3
1 8043 1
2 1452 2
1 9757 4
1 9482 3
2 7767 3
1 1741 4
2 4080 1
1 2640 1
2 6008 4
1 3764 5
2 9335 3
1 3951 6
1 9357 1
1 5421 5
2 517 1
2 5292 4
2 1353 2
2 3113 6
2 9779 3
2 1582 6
2 6047 2
2 5992 6
1 1484 2
2 7621 6
1 1089 6
2 3307 2
1 8130 6
1 6800 2
1 7487 6
2 8172 2
1 8120 2
1 1497 5
1 3263 5
1 1569 3
1 3201 6
2 1290 6
1 1717 1
1 2248 2
2 263 4
1 592 3
2 9338 6
2 4557 1
1 6215 2
2 835 5
1 436 2
1 6996 1
2 5139 5
2 251 6
1 653 2
1 4205 1
1 884 3
1 4179 5
1 6042 6
2 4885 5
1 7156 5
2 4849 2
1 6879 4
1 2260 4
2 2921 6
1 5717 1
1 9817 1
2 299 3
2 6578 4
1 6790 1
2 3859 5
