ID процесса B;Время выполнения процесса B (мс);ID процесса (ов) A
688;32;"163; 452; 580"
689;81;"312; 571; 549"
690;50;"154; 204; 650"
691;71;"544; 72; 457; 207; 592; 210; 468; 148; 664"
692;92;678
693;34;"129; 41; 11; 303; 560; 564; 63"
694;54;"257; 2; 293; 496; 561; 501; 475; 188"
695;41;"419; 357; 102; 263; 555; 430; 662; 124"
696;81;"224; 515; 670; 302; 19; 85; 24; 474; 30"
697;71;"593; 131; 643; 221"
698;1;"666; 140; 62"
699;89;"680; 76; 113; 93; 56; 26; 28; 285"
700;44;"130; 5; 361; 651; 304; 561; 402; 692; 597; 285"
701;30;0
702;74;"650; 587; 11; 689; 23; 437; 630; 247"
703;83;"444; 645; 263; 15; 113; 178; 595; 122; 636; 93"
704;31;"418; 579; 164; 326; 263; 203; 684; 562; 244; 281"
705;71;"9; 15; 111; 369; 382"
706;54;"458; 368; 499; 374; 603"
707;50;"256; 515; 260; 485; 427; 108; 656; 314; 62"
708;52;190
709;33;49
710;69;"128; 163; 120"
711;21;"192; 132; 327; 651; 77; 569; 563; 404; 217"
712;44;"227; 229; 135; 269; 400; 180; 439; 251"
713;27;0
714;44;"675; 360; 649; 206; 111; 629; 634; 572; 286; 63"
715;48;"587; 557; 270; 529; 498; 661; 603; 28"
716;32;"645; 72; 695; 50; 93; 471; 125"
717;58;"673; 262; 583; 49; 340"
718;16;"235; 396; 654; 142; 112; 495; 372; 87; 27; 190"
719;10;"283; 53; 47"
720;60;"633; 701; 94; 407"
721;17;"225; 202; 460; 525; 335; 400; 476"
722;98;"325; 615; 79; 696; 569; 59; 573"
723;79;496
724;99;0
725;80;"391; 487; 149; 191"
726;54;"262; 106; 493; 590; 398; 665"
727;9;"249; 351"
728;64;"192; 553; 714; 618; 528; 498; 26; 60"
729;57;"161; 451; 39; 13; 152; 633"
730;65;"288; 549; 168; 138; 459; 11; 594; 249; 283; 223"
731;6;"161; 417; 546; 582; 427; 146; 82; 506; 379; 509"
732;71;"610; 677; 230; 447; 270; 238; 432; 532; 253; 703"
733;68;"291; 326; 397; 152; 635"
734;99;486
735;99;"88; 106; 676"
736;75;"675; 452; 676; 654; 54; 731; 188; 605"
737;25;"3; 233; 45; 398; 144; 240; 596; 249; 60"
738;31;"385; 298; 527; 113; 593; 599; 216"
739;32;"289; 455; 151; 568; 473; 572"
740;46;"451; 715; 208; 180; 340; 221"
741;13;0
742;30;"512; 40; 377; 719; 594; 504; 505; 700"
743;75;"424; 630; 574"
744;41;"272; 521; 111; 303"
745;26;63
746;11;"487; 561; 306; 370; 538; 188"
747;84;252
748;88;"17; 3; 421; 390"
749;10;"546; 72; 588; 16; 664"
750;43;"156; 278"
751;53;554
752;81;"122; 509; 727"
753;6;"390; 680; 202; 13; 686; 216; 636; 317"
754;31;"318; 228; 71; 43; 718; 181; 349; 637; 638"
755;19;752
756;8;"256; 669; 556; 271; 527; 50; 440; 441; 699; 285"
757;13;"386; 105; 715; 659; 444"
758;75;224
759;25;"163; 740; 229; 173; 47; 147; 118; 151; 280"
760;56;"743; 8; 650; 202; 207; 304; 658"
761;15;"536; 552; 515; 686"
762;24;"672; 612; 746; 11; 364; 337; 442; 636"
763;61;"185; 199; 616; 170; 75; 473; 268; 601"
764;2;"64; 105; 428; 108; 366; 270; 496; 432; 56; 383"
765;68;"712; 10; 13; 398; 110; 657; 117"
766;31;674
767;82;"168; 41; 589; 719; 271; 245; 662; 342; 120"
768;74;0
769;68;"160; 737; 677; 457; 714; 366; 596; 440; 281; 350"
770;3;"67; 663; 237; 84; 215; 345; 30; 479"
771;78;"193; 515; 679; 178; 468; 533; 344; 58; 285"
772;51;"256; 40; 332; 15; 431; 497; 339; 152; 543"
773;68;"199; 10; 305; 146; 757; 477"
774;75;"186; 126; 98"
775;60;0
776;95;"331; 397"
777;60;"512; 745; 225; 693"
778;43;"85; 631"
779;63;"554; 748; 429; 302; 371; 756; 595; 662; 310"
780;27;"641; 354; 233; 619; 751; 273; 724"
781;48;"580; 41; 464; 312; 156"
782;73;"131; 360; 60; 656; 117; 216; 92; 734; 319"
783;97;"35; 263; 170; 242; 755; 347"
784;80;"736; 259; 564; 454"
785;50;"746; 269; 654; 464; 536; 702"
786;88;"582; 70; 295; 144; 19; 51; 668"
787;91;"192; 641; 452; 233; 684; 780; 561"
788;78;"457; 489; 779; 653; 180"
789;77;"1; 257; 614; 490; 750; 143"
790;4;"3; 48; 435; 93; 87; 696; 573"
791;53;"582; 137; 237; 755; 377"
792;81;366
793;46;"612; 9; 618; 723; 660; 765"
794;58;"53; 39"
795;10;"248; 775; 664; 711"
796;59;"457; 718; 785; 690; 465; 371; 501; 94; 574"
797;3;"167; 746; 46; 334; 80; 595; 311; 248"
798;33;"49; 42"
799;34;0
800;10;"192; 396; 749; 241; 441"
801;91;"289; 132; 517; 778; 658; 701"
802;74;"450; 195; 741; 777; 652; 735"
803;25;"323; 461; 526; 271; 596; 219"
804;80;"323; 652; 308; 316"
805;57;"800; 50; 364; 757"
806;14;"377; 63"
807;20;"224; 67; 6; 367; 411"
808;91;"320; 579; 45; 430; 436; 439; 571; 250; 59"
809;3;"291; 187; 483"
810;82;470
811;9;"161; 716; 18; 411; 216; 603"
812;92;"640; 747; 686; 500; 535; 95"
813;14;"256; 97; 260; 773; 102; 712; 124; 504; 636; 126"
814;19;"709; 806; 686; 466; 442; 156; 573; 542"
815;72;"320; 370; 613"
816;91;"770; 547; 584; 174; 597; 634; 671"
817;19;"449; 551; 521; 522; 348; 573"
818;25;"293; 490; 652; 781; 596; 763; 446"
819;75;571
820;2;"552; 683; 156"
821;58;224
822;6;"420; 549; 71; 40; 682; 630; 310; 760"
823;63;"508; 335; 603; 667; 284"
824;1;"314; 557"
825;68;"417; 277; 186; 91; 476; 478"
826;88;"66; 683; 331; 656; 631; 761; 382; 607"
827;25;"448; 608; 386; 99; 195; 327; 12"
828;95;241
829;9;"752; 288"
830;90;"419; 200; 106; 460; 338; 19; 500; 373; 438; 58"
831;34;"32; 132; 649; 714; 297; 812; 654; 148; 507"
832;7;"521; 581"
833;76;"322; 394; 240; 118; 121; 795; 765; 798"
834;67;482
835;26;"228; 554; 76; 308; 411; 504; 731"
836;62;"515; 132; 389; 392; 564; 827"
837;89;0
838;9;"129; 67; 836; 293; 138; 749; 718; 84; 86; 603"
839;32;"8; 531; 104; 747"
840;18;"67; 361; 788; 823; 506; 63"
841;27;0
842;71;"58; 676; 519; 683; 11; 626; 568; 505; 570"
843;24;"602; 318; 618"
844;49;"729; 324; 237"
845;20;"449; 842; 303; 721; 818"
846;5;"449; 20; 742; 647"
847;90;"401; 254"
848;39;220
849;24;"197; 53; 710"
850;20;44
851;86;"160; 9; 745; 663; 56; 572; 61; 414"
852;45;"257; 573; 335; 276; 24; 540; 157"
853;21;"32; 33; 197; 359; 750; 760; 537; 218"
854;70;"837; 586; 814; 464; 436; 475; 509"
855;51;"2; 164; 171; 179; 436; 790; 541"
856;61;0
857;93;"739; 520; 431; 219; 831"
858;75;"282; 190"
859;30;578
860;91;"226; 360; 395; 269; 20; 474; 475; 799"
861;69;"248; 644; 12; 310"
862;56;"512; 802; 642; 113; 787; 500; 245; 86; 858; 764"
863;44;"224; 581; 590; 766; 249; 414"
864;40;"352; 66; 74; 301; 77; 505; 145; 313; 511"
865;72;"792; 115; 164; 38"
866;78;"198; 459; 269; 787; 564; 662; 793"
867;4;"384; 97; 579; 69; 841; 525; 497; 374; 664; 412"
868;50;"228; 392; 712; 575; 270; 302; 848; 157; 287"
869;25;"391; 583; 233; 401; 822; 794; 415"
870;65;"608; 449; 517; 587; 107; 464; 401; 789; 790"
871;53;"224; 288; 41; 331; 784; 85; 823; 218; 349"
872;89;"754; 35; 380; 570"
873;55;"577; 140; 437; 22; 441; 444"
874;84;"195; 4; 615; 551; 779; 492; 621; 378; 763; 318"
875;80;"355; 203; 467; 696; 122; 859"
876;94;"275; 172"
877;25;"561; 223; 417; 687"
878;15;"169; 715; 624; 628; 245"
879;99;"388; 773; 615; 378; 464; 595; 275; 567; 90; 223"
880;44;"673; 425; 655"
881;84;"59; 155; 284; 285"
882;58;"61; 478; 399"
883;79;"737; 168; 882; 151; 761; 252; 189; 30; 31"
884;26;"196; 773; 265; 409; 110; 594; 756; 662; 473"
885;90;"614; 73; 51; 186; 316"
886;68;"480; 359; 589; 593; 563; 470; 700"
887;20;0
888;34;0
889;51;"448; 191; 28; 615"
890;79;"705; 153; 484"
891;22;"608; 153; 758"
892;95;"322; 741; 134; 560; 535; 220"
893;57;0
894;83;"296; 145; 789; 153; 797"
895;5;"832; 773; 583; 490; 591; 369; 186"
896;56;"706; 260; 650; 395; 620; 779; 302; 815; 624"
897;19;"418; 36; 203; 81; 893"
898;25;"138; 751; 400; 819; 566; 534; 122"
899;70;"424; 523; 432"
900;53;"800; 836; 523; 427; 21; 568"
901;3;"710; 239; 306; 308; 24; 380; 255"
902;94;"473; 327; 543"
903;20;0
904;90;"544; 514; 340"
905;79;"795; 642; 67; 755; 724; 181; 219; 252"
906;11;496
907;52;"612; 102; 458; 335; 439; 826; 475"
908;18;"396; 557; 47; 469; 789; 316"
909;3;"487; 681; 233; 303; 751; 90; 606"
910;18;"612; 69; 774; 550; 396; 558; 595; 183; 509"
911;3;"649; 897; 67; 94"
912;30;0
913;44;"709; 453; 655; 729; 314"
914;67;"194; 218; 847"
915;70;"757; 52; 277"
916;73;"321; 393; 589; 467; 691; 702"
917;25;"771; 326; 246; 471; 286; 447"
918;17;"256; 326; 814; 719; 785; 917; 856; 829; 191"
919;35;"736; 898; 455; 460; 12; 882; 566; 794"
920;27;"44; 767"
921;95;"545; 514; 259; 290; 558; 591"
922;56;"706; 514; 420; 676; 804; 775; 399; 605"
923;85;"520; 777; 744; 338; 605"
924;74;"53; 382"
925;47;"228; 777; 142; 336; 503; 122; 670"
926;21;"453; 357; 360; 490; 586; 500; 503; 151"
927;30;"330; 507; 149; 878"
928;75;"40; 234; 75; 633; 189; 350"
929;76;"320; 6; 679; 649; 855; 858; 571; 893; 127"
930;55;0
931;60;"194; 423; 722; 690; 340; 249; 218; 637; 575"
932;88;"225; 902; 774; 282; 525; 20; 186; 509; 895"
933;19;"352; 643; 332; 14; 595; 563; 726; 695; 570"
934;71;"546; 612; 748; 335; 847; 209; 530; 318"
935;19;"107; 204; 748; 174; 747; 113; 275; 184"
936;72;88
937;62;"418; 934; 475; 380; 189"
938;68;"472; 646"
939;23;"72; 49; 371; 569; 60; 765"
940;95;"898; 260; 330; 465; 721; 85; 534"
941;24;"773; 262; 43; 781; 562; 50; 277; 760; 570"
942;31;"640; 100; 933; 677; 787; 246; 254"
943;41;"386; 492; 557; 77; 687; 82; 699"
944;22;"473; 74"
945;18;0
946;19;"498; 234"
947;64;"209; 275; 4"
948;68;"151; 369; 404; 439"
949;18;"416; 930; 679; 624; 18; 214; 344; 346; 543"
950;58;"634; 411; 734; 459"
951;5;"42; 933; 941; 223"
952;52;0
953;87;"419; 383"
954;95;"322; 516; 810; 139; 177; 927"
955;36;"642; 552; 107; 913; 405; 542"
956;11;"610; 355; 361; 651; 301; 851; 373; 157; 221"
957;15;316
958;83;"450; 936; 653; 560; 944; 765; 926"
959;15;"129; 869; 681; 430; 851; 307; 565; 342; 762; 93"
960;31;"642; 781; 912; 693; 502"
961;90;"131; 164; 201; 881; 852; 501; 953; 543"
962;9;0
963;13;"57; 940; 942; 934"
964;26;"296; 200; 875; 139; 723"
965;9;"451; 521; 880; 692; 663; 440"
966;93;"288; 610; 294; 683; 844; 205; 472"
967;21;"816; 677; 351"
968;4;"451; 620; 398; 80; 626; 403; 532; 502; 383"
969;79;"834; 911; 561; 25; 476; 927"
970;6;"315; 491; 198; 963"
971;46;"800; 740; 101; 807; 925"
972;80;"610; 899; 806; 425; 115; 347"
973;51;"2; 804; 713; 19; 917"
974;87;"585; 770; 476; 108"
975;74;"710; 358; 746; 107; 402; 952; 414"
976;81;"512; 193; 388; 487; 779; 459; 877; 462; 147; 377"
977;75;"548; 38; 71; 552; 394; 627; 343; 218; 764"
978;69;0
979;29;"673; 547; 906; 586; 493; 175; 659"
980;15;"824; 403; 316"
981;34;"964; 67; 700; 599"
982;70;"73; 522"
983;16;"418; 550; 878; 341; 442; 125"
984;47;615
985;86;"385; 809; 494; 721; 436"
986;17;"530; 926; 138"
987;18;0
988;55;67
989;81;"291; 707; 967; 946; 922; 124"
990;66;"451; 582; 903; 510; 273; 594; 692; 181; 254; 607"
991;78;"673; 135; 615; 14; 793; 859; 988"
992;11;"40; 731; 412; 151"
993;16;"9; 809; 844; 466; 758; 407"
994;45;"1; 962; 99; 807; 426; 529; 283; 892"
995;21;"573; 803; 261"
996;14;"929; 909; 431; 627; 703"
997;4;"162; 742; 455; 967; 85; 246; 987"
998;95;"896; 642; 714; 398; 144; 435; 566; 988; 287"
999;85;"263; 488; 876; 794; 670"
1000;63;"168; 503"
